id,original_title,original_language,genre,overview,popularity,vote_count,vote_average,release_date
11216,Nuovo Cinema Paradiso,it,"Drama, Romance","A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",5.9302,4673,8.427,1988-11-17
120,The Lord of the Rings: The Fellowship of the Ring,en,"Adventure, Fantasy, Action","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",23.4022,26701,8.426,2001-12-18
539,Psycho,en,"Horror, Thriller, Mystery","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",9.3412,10674,8.42,1960-06-22
40096,O Auto da Compadecida,pt,"Comedy, Drama, Fantasy, Romance","The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",4.647,1194,8.419,2000-09-15
121,The Lord of the Rings: The Two Towers,en,"Adventure, Fantasy, Action","Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",20.3585,23181,8.411,2002-12-18
724089,Gabriel's Inferno: Part II,en,"Romance, Drama","Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",1.094,1534,8.4,2020-07-31
696374,Gabriel's Inferno,en,"Romance, Drama","An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",3.6654,2438,8.4,2020-05-29
346,七人の侍,ja,"Action, Drama","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",6.4146,4052,8.4,1954-04-26
510,One Flew Over the Cuckoo's Nest,en,Drama,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",8.7801,11079,8.4,1975-11-19
598,Cidade de Deus,pt,"Drama, Crime","In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",7.8297,7906,8.4,2002-08-30
761053,Gabriel's Inferno: Part III,en,"Romance, Drama",The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,5.2122,1071,8.4,2020-11-19
311,Once Upon a Time in America,en,"Drama, Crime","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",9.3216,5812,8.396,1984-05-23
324857,Spider-Man: Into the Spider-Verse,en,"Animation, Action, Adventure, Science Fiction","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",15.9764,16676,8.394,2018-12-06
1891,The Empire Strikes Back,en,"Adventure, Action, Science Fiction","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",6.9208,17897,8.393,1980-05-20
4935,ハウルの動く城,ja,"Fantasy, Animation, Adventure","Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",12.906,10671,8.39,2004-09-09
378064,映画 聲の形,ja,"Animation, Drama, Romance","Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",10.6941,4290,8.386,2016-09-17
423,The Pianist,en,"Drama, War","The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",8.1136,9804,8.379,2002-09-17
807,Se7en,en,"Crime, Mystery, Thriller","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",14.7998,22382,8.378,1995-09-22
244786,Whiplash,en,"Drama, Music","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",14.0022,16132,8.375,2014-10-10
27205,Inception,en,"Action, Science Fiction, Adventure","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",36.2862,38375,8.371,2010-07-15
12493,天国と地獄,ja,"Drama, Crime",A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.,6.5437,1056,8.349,1963-03-01
567,Rear Window,en,"Thriller, Mystery",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,4.9703,6925,8.348,1954-08-01
